timestamp,symbol,price,size,side,trade_id
2024-03-28T00:20:22.414000+00:00,BTCUSDT,70027.2,1.379,sell,2104408089
2024-03-28T00:20:22.448000+00:00,BTCUSDT,70026.5,0.005,sell,2104408090
2024-03-28T00:20:22.448000+00:00,BTCUSDT,70026.0,0.002,sell,2104408091
2024-03-28T00:20:22.448000+00:00,BTCUSDT,70024.6,0.007,sell,2104408092
2024-03-28T00:20:22.448000+00:00,BTCUSDT,70024.5,0.002,sell,2104408093
2024-03-28T00:20:22.448000+00:00,BTCUSDT,70024.0,0.002,sell,2104408094
2024-03-28T00:20:22.450000+00:00,BTCUSDT,70023.5,0.549,sell,2104408095
2024-03-28T00:20:22.457000+00:00,BTCUSDT,70022.0,0.004,sell,2104408096
2024-03-28T00:20:22.480000+00:00,BTCUSDT,70021.4,0.039,buy,2104408097
2024-03-28T00:20:22.481000+00:00,BTCUSDT,70021.3,0.002,sell,2104408098
2024-03-28T00:20:22.481000+00:00,BTCUSDT,70021.4,0.082,buy,2104408099
2024-03-28T00:20:22.533000+00:00,BTCUSDT,70021.3,0.016,sell,2104408100
2024-03-28T00:20:22.545000+00:00,BTCUSDT,70021.4,0.002,buy,2104408101
2024-03-28T00:20:22.564000+00:00,BTCUSDT,70021.3,0.114,sell,2104408102
2024-03-28T00:20:22.575000+00:00,BTCUSDT,70021.4,0.035,buy,2104408103
2024-03-28T00:20:22.582000+00:00,BTCUSDT,70021.3,0.025,sell,2104408104
2024-03-28T00:20:22.614000+00:00,BTCUSDT,70020.8,0.002,sell,2104408105
2024-03-28T00:20:22.614000+00:00,BTCUSDT,70020.0,0.002,sell,2104408106
2024-03-28T00:20:22.617000+00:00,BTCUSDT,70019.1,0.433,sell,2104408107
2024-03-28T00:20:22.618000+00:00,BTCUSDT,70018.6,0.002,sell,2104408108
2024-03-28T00:20:22.630000+00:00,BTCUSDT,70018.1,0.046,sell,2104408109
2024-03-28T00:20:22.630000+00:00,BTCUSDT,70017.8,1.919,sell,2104408110
2024-03-28T00:20:22.631000+00:00,BTCUSDT,70017.5,0.011,sell,2104408111
2024-03-28T00:20:22.643000+00:00,BTCUSDT,70016.4,0.189,buy,2104408112
2024-03-28T00:20:22.681000+00:00,BTCUSDT,70016.3,0.004,sell,2104408113
2024-03-28T00:20:22.724000+00:00,BTCUSDT,70015.8,0.061,sell,2104408114
2024-03-28T00:20:22.734000+00:00,BTCUSDT,70015.6,0.002,sell,2104408115
2024-03-28T00:20:22.734000+00:00,BTCUSDT,70015.3,0.002,sell,2104408116
2024-03-28T00:20:22.734000+00:00,BTCUSDT,70014.8,0.029,sell,2104408117
2024-03-28T00:20:22.734000+00:00,BTCUSDT,70014.2,0.057,sell,2104408118
2024-03-28T00:20:22.734000+00:00,BTCUSDT,70014.1,0.002,sell,2104408119
2024-03-28T00:20:22.734000+00:00,BTCUSDT,70014.0,0.004,sell,2104408120
2024-03-28T00:20:22.735000+00:00,BTCUSDT,70013.8,0.002,sell,2104408121
2024-03-28T00:20:22.735000+00:00,BTCUSDT,70013.6,0.003,sell,2104408122
2024-03-28T00:20:22.735000+00:00,BTCUSDT,70013.2,0.051,sell,2104408123
2024-03-28T00:20:22.840000+00:00,BTCUSDT,70013.3,0.217,buy,2104408124
2024-03-28T00:20:22.869000+00:00,BTCUSDT,70013.2,0.844,sell,2104408125
2024-03-28T00:20:22.893000+00:00,BTCUSDT,70012.8,0.002,sell,2104408126
2024-03-28T00:20:22.893000+00:00,BTCUSDT,70012.2,0.23,sell,2104408127
2024-03-28T00:20:22.893000+00:00,BTCUSDT,70012.0,0.002,sell,2104408128
2024-03-28T00:20:22.896000+00:00,BTCUSDT,70010.3,0.033,sell,2104408129
2024-03-28T00:20:22.906000+00:00,BTCUSDT,70010.4,0.05,buy,2104408130
2024-03-28T00:20:22.909000+00:00,BTCUSDT,70010.3,0.004,sell,2104408131
2024-03-28T00:20:22.945000+00:00,BTCUSDT,70010.4,0.016,buy,2104408132
2024-03-28T00:20:22.947000+00:00,BTCUSDT,70010.3,0.063,sell,2104408133
2024-03-28T00:20:23.074000+00:00,BTCUSDT,70010.3,0.357,sell,2104408134
2024-03-28T00:20:23.178000+00:00,BTCUSDT,70010.3,0.3,sell,2104408135
2024-03-28T00:20:23.258000+00:00,BTCUSDT,70010.4,0.247,buy,2104408136
2024-03-28T00:20:23.293000+00:00,BTCUSDT,70010.3,0.906,sell,2104408137
2024-03-28T00:20:23.333000+00:00,BTCUSDT,70010.1,0.002,sell,2104408138
2024-03-28T00:20:23.333000+00:00,BTCUSDT,70010.0,0.032,sell,2104408139
